panel,markerstring,gating hierarchy,public_population_name,presented on webpage as,ancestral population,fraction_name,population_for_backcounts_within_panel,population_for_backcounts_P6,complex_cases
P7,CD3+CD4-CD45RA+CXCR3+CCR6-LAG3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAn_7/CD4n_CD45RAn_CXCR3p_CCR6n_7 | Median (LAG3),LAG3_MFI_CD4nT_memory_CXCR3p_CCR6n,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+CXCR3+CCR6-TIM3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAn_7/CD4n_CD45RAn_CXCR3p_CCR6n_7 | Median (TIM3),TIM3_MFI_CD4nT_memory_CXCR3p_CCR6n,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+CXCR3+CCR6+2B4+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAn_7/CD4n_CD45RAn_CXCR3p_CCR6p_7 | Median (2B4),2B4_MFI_CD4nT_memory_CXCR3p_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+CXCR3+CCR6+PD1+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAn_7/CD4n_CD45RAn_CXCR3p_CCR6p_7 | Median (PD1),PD1_MFI_CD4nT_memory_CXCR3p_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+CXCR3+CCR6+LAG3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAn_7/CD4n_CD45RAn_CXCR3p_CCR6p_7 | Median (LAG3),LAG3_MFI_CD4nT_memory_CXCR3p_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+CXCR3+CCR6+TIM3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAn_7/CD4n_CD45RAn_CXCR3p_CCR6p_7 | Median (TIM3),TIM3_MFI_CD4nT_memory_CXCR3p_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+2B4+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAp_7 | Median (2B4),2B4_MFI_CD4nT_naïve,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+PD1+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAp_7 | Median (PD1),PD1_MFI_CD4nT_naïve,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+LAG3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAp_7 | Median (LAG3),LAG3_MFI_CD4nT_naïve,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+TIM3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAp_7 | Median (TIM3),TIM3_MFI_CD4nT_naïve,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+CXCR3-CCR6-2B4+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAp_7/CD4n_CD45RAp_CXCR3n_CCR6n_7 | Median (2B4),2B4_MFI_CD4nT_naïve_CXCR3n_CCR6n,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+CXCR3-CCR6-PD1+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAp_7/CD4n_CD45RAp_CXCR3n_CCR6n_7 | Median (PD1),PD1_MFI_CD4nT_naïve_CXCR3n_CCR6n,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+CXCR3-CCR6-LAG3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAp_7/CD4n_CD45RAp_CXCR3n_CCR6n_7 | Median (LAG3),LAG3_MFI_CD4nT_naïve_CXCR3n_CCR6n,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+CXCR3-CCR6-TIM3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAp_7/CD4n_CD45RAp_CXCR3n_CCR6n_7 | Median (TIM3),TIM3_MFI_CD4nT_naïve_CXCR3n_CCR6n,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+CXCR3-CCR6+2B4+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAp_7/CD4n_CD45RAp_CXCR3n_CCR6p_7 | Median (2B4),2B4_MFI_CD4nT_naïve_CXCR3n_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+CXCR3-CCR6+PD1+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAp_7/CD4n_CD45RAp_CXCR3n_CCR6p_7 | Median (PD1),PD1_MFI_CD4nT_naïve_CXCR3n_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+CXCR3-CCR6+LAG3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAp_7/CD4n_CD45RAp_CXCR3n_CCR6p_7 | Median (LAG3),LAG3_MFI_CD4nT_naïve_CXCR3n_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+CXCR3-CCR6+TIM3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAp_7/CD4n_CD45RAp_CXCR3n_CCR6p_7 | Median (TIM3),TIM3_MFI_CD4nT_naïve_CXCR3n_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+CXCR3+CCR6-2B4+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAp_7/CD4n_CD45RAp_CXCR3p_CCR6n_7 | Median (2B4),2B4_MFI_CD4nT_naïve_CXCR3p_CCR6n,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+CXCR3+CCR6-PD1+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAp_7/CD4n_CD45RAp_CXCR3p_CCR6n_7 | Median (PD1),PD1_MFI_CD4nT_naïve_CXCR3p_CCR6n,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+CXCR3+CCR6-LAG3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAp_7/CD4n_CD45RAp_CXCR3p_CCR6n_7 | Median (LAG3),LAG3_MFI_CD4nT_naïve_CXCR3p_CCR6n,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+CXCR3+CCR6-TIM3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAp_7/CD4n_CD45RAp_CXCR3p_CCR6n_7 | Median (TIM3),TIM3_MFI_CD4nT_naïve_CXCR3p_CCR6n,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+CXCR3+CCR6+2B4+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAp_7/CD4n_CD45RAp_CXCR3p_CCR6p_7 | Median (2B4),2B4_MFI_CD4nT_naïve_CXCR3p_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+CXCR3+CCR6+PD1+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAp_7/CD4n_CD45RAp_CXCR3p_CCR6p_7 | Median (PD1),PD1_MFI_CD4nT_naïve_CXCR3p_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+CXCR3+CCR6+LAG3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAp_7/CD4n_CD45RAp_CXCR3p_CCR6p_7 | Median (LAG3),LAG3_MFI_CD4nT_naïve_CXCR3p_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4-CD45RA+CXCR3+CCR6+TIM3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4n_T_7/CD4n_CD45RAp_7/CD4n_CD45RAp_CXCR3p_CCR6p_7 | Median (TIM3),TIM3_MFI_CD4nT_naïve_CXCR3p_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+2B4+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7 | Median (2B4),2B4_MFI_CD4pT,median intensity,NA,CD4p_CD45RAp_CXCR3n_CCR6n_7/CD3p_CD4p_T_7,NA,NA,NA
P7,CD3+CD4+PD1+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7 | Median (PD1),PD1_MFI_CD4pT,median intensity,NA,CD4p_CD45RAp_CXCR3n_CCR6n_7/CD4p_CD45RAp_7,NA,NA,NA
P7,CD3+CD4+LAG3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7 | Median (LAG3),LAG3_MFI_CD4pT,median intensity,NA,CD4p_CD45RAp_CXCR3n_CCR6p_7/CD3p_CD4p_T_7,NA,NA,NA
P7,CD3+CD4+TIM3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7 | Median (TIM3),TIM3_MFI_CD4pT,median intensity,NA,CD4p_CD45RAp_CXCR3n_CCR6p_7/CD4p_CD45RAp_7,NA,NA,NA
P7,CD3+CD4+CD45RA-2B4+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAn_7 | Median (2B4),2B4_MFI_CD4pT_memory_total,median intensity,NA,CD4p_CD45RAp_CXCR3p_CCR6n_7/CD3p_CD4p_T_7,NA,NA,NA
P7,CD3+CD4+CD45RA-PD1+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAn_7 | Median (PD1),PD1_MFI_CD4pT_memory_total,median intensity,NA,CD4p_CD45RAp_CXCR3p_CCR6n_7/CD4p_CD45RAp_7,NA,NA,NA
P7,CD3+CD4+CD45RA-LAG3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAn_7 | Median (LAG3),LAG3_MFI_CD4pT_memory_total,median intensity,NA,CD4p_CD45RAp_CXCR3p_CCR6p_7/CD3p_CD4p_T_7,NA,NA,NA
P7,CD3+CD4+CD45RA-TIM3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAn_7 | Median (TIM3),TIM3_MFI_CD4pT_memory_total,median intensity,NA,CD4p_CD45RAp_CXCR3p_CCR6p_7/CD4p_CD45RAp_7,NA,NA,NA
P7,CD3+CD4+CD45RA-CXCR3-CCR6-2B4+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAn_7/CD4p_CD45RAn_CXCR3n_CCR6n_7 | Median (2B4),2B4_MFI_Th2,median intensity,NA,CD4p_CD45RAp_PD1n_7/CD3p_CD4p_T_7,NA,NA,NA
P7,CD3+CD4+CD45RA-CXCR3-CCR6-PD1+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAn_7/CD4p_CD45RAn_CXCR3n_CCR6n_7 | Median (PD1),PD1_MFI_Th2,median intensity,NA,CD4p_CD45RAp_PD1n_7/CD4p_CD45RAp_7,NA,NA,NA
P7,CD3+CD4+CD45RA-CXCR3-CCR6-LAG3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAn_7/CD4p_CD45RAn_CXCR3n_CCR6n_7 | Median (LAG3),LAG3_MFI_Th2,median intensity,NA,CD4p_CD45RAp_PD1p_7/CD3p_CD4p_T_7,NA,NA,NA
P7,CD3+CD4+CD45RA-CXCR3-CCR6-TIM3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAn_7/CD4p_CD45RAn_CXCR3n_CCR6n_7 | Median (TIM3),TIM3_MFI_Th2,median intensity,NA,CD4p_CD45RAp_PD1p_7/CD4p_CD45RAp_7,NA,NA,NA
P7,CD3+CD4+CD45RA-CXCR3-CCR6+2B4+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAn_7/CD4p_CD45RAn_CXCR3n_CCR6p_7 | Median (2B4),2B4_MFI_Th17,median intensity,NA,CD4p_CD45RAp_TIM3n_PD1n_7/CD3p_CD4p_T_7,NA,NA,NA
P7,CD3+CD4+CD45RA-CXCR3-CCR6+PD1+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAn_7/CD4p_CD45RAn_CXCR3n_CCR6p_7 | Median (PD1),PD1_MFI_Th17,median intensity,NA,CD4p_CD45RAp_TIM3n_PD1n_7/CD4p_CD45RAp_7,NA,NA,NA
P7,CD3+CD4+CD45RA-CXCR3-CCR6+LAG3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAn_7/CD4p_CD45RAn_CXCR3n_CCR6p_7 | Median (LAG3),LAG3_MFI_Th17,median intensity,NA,CD4p_CD45RAp_TIM3n_PD1p_7/CD3p_CD4p_T_7,NA,NA,NA
P7,CD3+CD4+CD45RA-CXCR3-CCR6+TIM3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAn_7/CD4p_CD45RAn_CXCR3n_CCR6p_7 | Median (TIM3),TIM3_MFI_Th17,median intensity,NA,CD4p_CD45RAp_TIM3n_PD1p_7/CD4p_CD45RAp_7,NA,NA,NA
P7,CD3+CD4+CD45RA-CXCR3+CCR6-2B4+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAn_7/CD4p_CD45RAn_CXCR3p_CCR6n_7 | Median (2B4),2B4_MFI_Th1,median intensity,NA,CD4p_CD45RAp_TIM3p_PD1n_7/CD3p_CD4p_T_7,NA,NA,NA
P7,CD3+CD4+CD45RA-CXCR3+CCR6-PD1+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAn_7/CD4p_CD45RAn_CXCR3p_CCR6n_7 | Median (PD1),PD1_MFI_Th1,median intensity,NA,CD4p_CD45RAp_TIM3p_PD1n_7/CD4p_CD45RAp_7,NA,NA,NA
P7,CD3+CD4+CD45RA-CXCR3+CCR6-LAG3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAn_7/CD4p_CD45RAn_CXCR3p_CCR6n_7 | Median (LAG3),LAG3_MFI_Th1,median intensity,NA,CD4p_CD45RAp_TIM3p_PD1p_7/CD3p_CD4p_T_7,NA,NA,NA
P7,CD3+CD4+CD45RA-CXCR3+CCR6-TIM3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAn_7/CD4p_CD45RAn_CXCR3p_CCR6n_7 | Median (TIM3),TIM3_MFI_Th1,median intensity,NA,CD4p_CD45RAp_TIM3p_PD1p_7/CD4p_CD45RAp_7,NA,NA,NA
P7,CD3+CD4+CD45RA-CXCR3+CCR6+2B4+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAn_7/CD4p_CD45RAn_CXCR3p_CCR6p_7 | Median (2B4),2B4_MFI_CD4pT_memory_CXCR3p_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA-CXCR3+CCR6+PD1+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAn_7/CD4p_CD45RAn_CXCR3p_CCR6p_7 | Median (PD1),PD1_MFI_CD4pT_memory_CXCR3p_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA-CXCR3+CCR6+LAG3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAn_7/CD4p_CD45RAn_CXCR3p_CCR6p_7 | Median (LAG3),LAG3_MFI_CD4pT_memory_CXCR3p_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA-CXCR3+CCR6+TIM3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAn_7/CD4p_CD45RAn_CXCR3p_CCR6p_7 | Median (TIM3),TIM3_MFI_CD4pT_memory_CXCR3p_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA+2B4+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAp_7 | Median (2B4),2B4_MFI_CD4nT_naïve,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA+PD1+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAp_7 | Median (PD1),PD1_MFI_CD4nT_naïve,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA+LAG3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAp_7 | Median (LAG3),LAG3_MFI_CD4nT_naïve,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA+TIM3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAp_7 | Median (TIM3),TIM3_MFI_CD4nT_naïve,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA+CXCR3-CCR6-2B4+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAp_7/CD4p_CD45RAp_CXCR3n_CCR6n_7 | Median (2B4),2B4_MFI_CD4pT_naïve_CXCR3n_CCR6n,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA+CXCR3-CCR6-PD1+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAp_7/CD4p_CD45RAp_CXCR3n_CCR6n_7 | Median (PD1),PD1_MFI_CD4pT_naïve_CXCR3n_CCR6n,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA+CXCR3-CCR6-LAG3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAp_7/CD4p_CD45RAp_CXCR3n_CCR6n_7 | Median (LAG3),LAG3_MFI_CD4pT_naïve_CXCR3n_CCR6n,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA+CXCR3-CCR6-TIM3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAp_7/CD4p_CD45RAp_CXCR3n_CCR6n_7 | Median (TIM3),TIM3_MFI_CD4pT_naïve_CXCR3n_CCR6n,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA+CXCR3-CCR6+2B4+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAp_7/CD4p_CD45RAp_CXCR3n_CCR6p_7 | Median (2B4),2B4_MFI_CD4nT_naïve_CXCR3n_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA+CXCR3-CCR6+PD1+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAp_7/CD4p_CD45RAp_CXCR3n_CCR6p_7 | Median (PD1),PD1_MFI_CD4nT_naïve_CXCR3n_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA+CXCR3-CCR6+LAG3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAp_7/CD4p_CD45RAp_CXCR3n_CCR6p_7 | Median (LAG3),LAG3_MFI_CD4nT_naïve_CXCR3n_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA+CXCR3-CCR6+TIM3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAp_7/CD4p_CD45RAp_CXCR3n_CCR6p_7 | Median (TIM3),TIM3_MFI_CD4nT_naïve_CXCR3n_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA+CXCR3+CCR6-2B4+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAp_7/CD4p_CD45RAp_CXCR3p_CCR6n_7 | Median (2B4),2B4_MFI_CD4nT_naïve_CXCR3p_CCR6n,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA+CXCR3+CCR6-PD1+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAp_7/CD4p_CD45RAp_CXCR3p_CCR6n_7 | Median (PD1),PD1_MFI_CD4nT_naïve_CXCR3p_CCR6n,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA+CXCR3+CCR6-LAG3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAp_7/CD4p_CD45RAp_CXCR3p_CCR6n_7 | Median (LAG3),LAG3_MFI_CD4nT_naïve_CXCR3p_CCR6n,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA+CXCR3+CCR6-TIM3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAp_7/CD4p_CD45RAp_CXCR3p_CCR6n_7 | Median (TIM3),TIM3_MFI_CD4nT_naïve_CXCR3p_CCR6n,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA+CXCR3+CCR6+2B4+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAp_7/CD4p_CD45RAp_CXCR3p_CCR6p_7 | Median (2B4),2B4_MFI_CD4nT_naïve_CXCR3p_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA+CXCR3+CCR6+PD1+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAp_7/CD4p_CD45RAp_CXCR3p_CCR6p_7 | Median (PD1),PD1_MFI_CD4nT_naïve_CXCR3p_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA+CXCR3+CCR6+LAG3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAp_7/CD4p_CD45RAp_CXCR3p_CCR6p_7 | Median (LAG3),LAG3_MFI_CD4nT_naïve_CXCR3p_CCR6p,median intensity,NA,NA,NA,NA,NA
P7,CD3+CD4+CD45RA+CXCR3+CCR6+TIM3+MFI,Time_7/Cells_7/Singlets1_7/Singlets2_7/CD3p_CD4p_T_7/CD4p_CD45RAp_7/CD4p_CD45RAp_CXCR3p_CCR6p_7 | Median (TIM3),TIM3_MFI_CD4nT_naïve_CXCR3p_CCR6p,median intensity,NA,NA,NA,NA,NA
P8,Live_Cells,Time_08/Cells_08/Singlets1_08/Singlets2_08/Live_08 | Count,Live_cells,"fraction, counts per ml of blood",NA,Live_08,NA,NA,NA
P8,SSC-A_low_and_CD14++,Time_08/Cells_08/Singlets1_08/Singlets2_08/Live_08/Non_PMN_08 | Count,Non_PMN_cells,"fraction, counts per ml of blood",Time_08/Cells_08/Singlets1_08/Singlets2_08/Live_08 | Count,Non_PMN_08/live_08,NA,NA,NA
P8,CD19-,Time_08/Cells_08/Singlets1_08/Singlets2_08/Live_08/Non_PMN_08/B_Cells_08 | Count,B_cells,"fraction, counts per ml of blood",Time_08/Cells_08/Singlets1_08/Singlets2_08/Live_08 | Count,B_Cells_08/Live_08,NA,NA,NA
P8,CD19-HLADR+MFI,Time_08/Cells_08/Singlets1_08/Singlets2_08/Live_08/Non_PMN_08/B_Cells_08 | Median (hladr),HLADRMFI_B_cells,median intensity,NA,NA,NA,NA,NA
P8,CD19-CD86+MFI,Time_08/Cells_08/Singlets1_08/Singlets2_08/Live_08/Non_PMN_08/B_Cells_08 | Median (CD86),CD86MFI_B_cells,median intensity,NA,NA,NA,NA,NA
P8,CD19-CD86+,Time_08/Cells_08/Singlets1_08/Singlets2_08/Live_08/Non_PMN_08/B_Cells_08/B_cells_CD86p_08 | Count,CD86pos_B_Cells,"fraction, counts per ml of blood",Time_08/Cells_08/Singlets1_08/Singlets2_08/Live_08/Non_PMN_08/B_Cells_08 | Count,B_cells_CD86p_08/B_Cells_08,NA,NA,NA
P8,CD19-CD86+CD86+MFI,Time_08/Cells_08/Singlets1_08/Singlets2_08/Live_08/Non_PMN_08/B_Cells_08/B_cells_CD86p_08 | Median (CD86),CD86MFI_CD86pos_B_cells,median intensity,NA,NA,NA,NA,NA
P8,CD19-CD3-,Time_08/Cells_08/Singlets1_08/Singlets2_08/Live_08/Non_PMN_08/Non-BT_08 | Count,Non_BT_cells,"fraction, counts per ml of blood",Time_08/Cells_08/Singlets1_08/Singlets2_08/Live_08 | Count,Non-BT_08/Live_08,NA,NA,NA
P8,CD19-CD3-HLADR-CD14-,Time_08/Cells_08/Singlets1_08/Singlets2_08/Live_08/Non_PMN_08/Non-BT_08/HLADRn_CD14n_08 | Count,HLADRneg_CD14neg_NonBT_cells,"fraction, counts per ml of blood",Time_08/Cells_08/Singlets1_08/Singlets2_08/Live_08 | Count,HLADRn_CD14n_08/Non_BT_08,NA,NA,NA
P8,CD19-CD3-HLADR-CD14-CD16-CD123+,Time_08/Cells_08/Singlets1_08/Singlets2_08/Live_08/Non_PMN_08/Non-BT_08/HLADRn_CD14n_08/Basophils_08 | Count,Basophils,"fraction, counts per ml of blood",Time_08/Cells_08/Singlets1_08/Singlets2_08/Live_08 | Count,Basophils_08/Live_08,NA,NA,NA
P8,CD19-CD3-CD14+CD16+,Time_08/Cells_08/Singlets1_08/Singlets2_08/Live_08/Non_PMN_08/Non-BT_08/Monocytes_08 | Count,Monocytes,"fraction, counts per ml of blood",Time_08/Cells_08/Singlets1_08/Singlets2_08/Live_08 | Count,Monocytes_08/Live_08,NA,NA,NA
P8,CD19-CD3-CD14+CD16-,Time_08/Cells_08/Singlets1_08/Singlets2_08/Live_08/Non_PMN_08/Non-BT_08/Monocytes_08/Classical_monocytes_08 | Count,Classical_monocytes,"fraction, counts per ml of blood",Time_08/Cells_08/Singlets1_08/Singlets2_08/Live_08/Non_PMN_08/Non-BT_08/Monocytes_08 | Count,Classical_monocytes_08/Monocytes_08,NA,NA,NA
